Time,cpu,mem,gpu,gpu video,gpu enhance
8/21/2023 11:29:34,0.46%,29.579 GB,0%,0%,0%
8/21/2023 11:29:35,1.50%,29.552 GB,0%,0%,0%
8/21/2023 11:29:36,1.19%,29.513 GB,0.01%,0%,0%
8/21/2023 11:29:37,0.38%,29.475 GB,0%,0%,0%
8/21/2023 11:29:38,0.94%,29.459 GB,0%,0%,0%
8/21/2023 11:29:39,2.57%,29.441 GB,0%,0%,0%
8/21/2023 11:29:40,5.27%,29.411 GB,0%,0%,0%
8/21/2023 11:29:41,12.50%,29.411 GB,0%,0%,0%
8/21/2023 11:29:42,9.36%,29.383 GB,0%,0%,0%
8/21/2023 11:29:43,9.76%,29.363 GB,0%,0%,0%
8/21/2023 11:29:44,13.30%,29.362 GB,0%,0%,0%
8/21/2023 11:29:45,8.78%,29.341 GB,0%,0%,0%
8/21/2023 11:29:46,9.54%,29.344 GB,0%,0%,0%
8/21/2023 11:29:47,9.58%,29.322 GB,0%,0%,0%
8/21/2023 11:29:49,7.34%,29.300 GB,0%,0%,0%
8/21/2023 11:29:49,7.08%,29.298 GB,0%,0%,0%
8/21/2023 11:29:50,9.65%,29.286 GB,0%,0%,0%
8/21/2023 11:29:51,12.80%,29.274 GB,0%,0%,0%
8/21/2023 11:29:52,16.20%,29.272 GB,0%,0%,0%
8/21/2023 11:29:53,14.10%,29.279 GB,0%,0%,0%
8/21/2023 11:29:54,18.20%,29.246 GB,0%,0%,0%
8/21/2023 11:29:55,16.40%,29.213 GB,0%,0%,0%
8/21/2023 11:29:56,9.94%,29.200 GB,0%,0%,0%
8/21/2023 11:29:57,5.25%,29.212 GB,0%,0%,0%
8/21/2023 11:29:58,8.26%,29.209 GB,0%,0%,0%
8/21/2023 11:29:59,5.82%,29.204 GB,0%,0%,0%
8/21/2023 11:30:00,6.57%,29.211 GB,0%,0%,0%
8/21/2023 11:30:01,7.45%,29.212 GB,0%,0%,0%
8/21/2023 11:30:02,9.19%,29.210 GB,0%,0%,0%
8/21/2023 11:30:03,8.99%,29.208 GB,0%,0%,0%
8/21/2023 11:30:04,9.75%,29.183 GB,0%,0%,0%
8/21/2023 11:30:05,9.31%,29.184 GB,0%,0%,0%
8/21/2023 11:30:06,11.00%,29.194 GB,0%,0%,0%
8/21/2023 11:30:07,10.20%,29.181 GB,0%,0%,0%
8/21/2023 11:30:08,8.73%,29.163 GB,0%,0%,0%
8/21/2023 11:30:09,7.32%,29.144 GB,0%,0%,0%
8/21/2023 11:30:12,7.84%,29.136 GB,0%,0%,0%
8/21/2023 11:30:12,8.63%,29.114 GB,0%,0%,0%
8/21/2023 11:30:13,8.82%,29.081 GB,0%,0%,0%
8/21/2023 11:30:14,8.89%,29.076 GB,0%,0%,0%
8/21/2023 11:30:15,7.40%,29.083 GB,0%,0%,0%
8/21/2023 11:30:16,8.65%,29.083 GB,0%,0%,0%
8/21/2023 11:30:17,5.97%,29.093 GB,0%,0%,0%
8/21/2023 11:30:18,2.94%,29.106 GB,0%,0%,0%
8/21/2023 11:30:19,7.26%,29.084 GB,0%,0%,0%
8/21/2023 11:30:20,0.44%,29.081 GB,0%,0%,0%
8/21/2023 11:30:21,0.13%,29.082 GB,0%,0%,0%
8/21/2023 11:30:22,0.88%,29.080 GB,0%,0%,0%
8/21/2023 11:30:23,5.51%,29.083 GB,0%,0%,0%
8/21/2023 11:30:24,7.39%,29.087 GB,0%,0%,0%
8/21/2023 11:30:25,7.20%,29.034 GB,0%,0%,0%
8/21/2023 11:30:26,6.94%,28.956 GB,0%,0%,0%
8/21/2023 11:30:27,6.50%,28.952 GB,0%,0%,0%
8/21/2023 11:30:28,6.45%,28.951 GB,0%,0%,0%
8/21/2023 11:30:29,6.57%,28.950 GB,0%,0%,0%
8/21/2023 11:30:30,14.30%,29.039 GB,0.09%,0%,0%
8/21/2023 11:30:31,27.00%,28.952 GB,28.50%,0%,0%
8/21/2023 11:30:32,5.07%,28.866 GB,90.60%,0%,0%
8/21/2023 11:30:33,5.01%,28.863 GB,90.90%,0%,0%
8/21/2023 11:30:34,5.00%,28.861 GB,90.90%,0%,0%
8/21/2023 11:30:35,5.18%,28.856 GB,91.20%,0%,0%
8/21/2023 11:30:36,5.20%,28.855 GB,91.00%,0%,0%
8/21/2023 11:30:38,4.96%,28.853 GB,91.20%,0%,0%
8/21/2023 11:30:38,4.88%,28.851 GB,91.00%,0%,0%
8/21/2023 11:30:39,5.07%,28.849 GB,90.90%,0%,0%
8/21/2023 11:30:41,4.87%,28.853 GB,91.10%,0%,0%
8/21/2023 11:30:41,4.76%,28.852 GB,91.10%,0%,0%
8/21/2023 11:30:42,5.07%,28.851 GB,91.20%,0%,0%
8/21/2023 11:30:43,5.32%,28.850 GB,91.20%,0%,0%
8/21/2023 11:30:44,5.26%,28.814 GB,90.70%,0%,0%
8/21/2023 11:30:45,5.01%,28.817 GB,91.20%,0%,0%
8/21/2023 11:30:46,5.07%,28.815 GB,91.10%,0%,0%
8/21/2023 11:30:47,5.39%,28.814 GB,91.10%,0%,0%
8/21/2023 11:30:48,5.19%,28.812 GB,91.10%,0%,0%
8/21/2023 11:30:50,5.06%,28.813 GB,91.10%,0%,0%
8/21/2023 11:30:50,4.95%,28.807 GB,91.30%,0%,0%
8/21/2023 11:30:51,3.44%,28.808 GB,68.60%,0%,0%
8/21/2023 11:30:52,0.19%,29.064 GB,0%,0%,0%
8/21/2023 11:30:53,2.44%,29.065 GB,0%,0%,0%
8/21/2023 11:30:54,27.00%,28.976 GB,0.88%,0%,0%
8/21/2023 11:30:55,15.60%,28.689 GB,51.10%,0%,0%
8/21/2023 11:30:56,5.64%,28.844 GB,93.20%,0%,0%
8/21/2023 11:30:57,5.50%,28.843 GB,100.00%,0%,0%
8/21/2023 11:30:58,5.06%,28.839 GB,100.00%,0%,0%
8/21/2023 11:30:59,5.19%,28.839 GB,100.00%,0%,0%
8/21/2023 11:31:00,4.94%,28.830 GB,100.00%,0%,0%
8/21/2023 11:31:01,5.32%,28.830 GB,100.00%,0%,0%
8/21/2023 11:31:02,5.13%,28.829 GB,100.00%,0%,0%
8/21/2023 11:31:03,6.00%,28.829 GB,100.00%,0%,0%
8/21/2023 11:31:04,5.01%,28.832 GB,100.00%,0%,0%
8/21/2023 11:31:05,5.19%,28.834 GB,100.00%,0%,0%
8/21/2023 11:31:06,6.25%,28.833 GB,100.00%,0%,0%
8/21/2023 11:31:07,5.01%,28.829 GB,100%,0%,0%
